00111001101101001001000000000000,00111111001000000011001011100000,01000011100111111101011111110011,00111010001000100010100000000000,
00111101111110010011000111110000,00111100100000111101100010000000,00111001110011101011000000000000,01000010000110111101111110000001,
00111010010100110010100000000000,01000100000010100011101110110001,00111101010100001011110001000000,00111011111011011110110000000000,
00111011111111101011010100000000,01000000101110100000001101000110,00111111010100100011111010000100,01000100011000110110011010110100,
00111100000001100110100000000000,00111011000010111011101000000000,01000100010010011011011010010011,00111111010101011010010100111010,
00111010001011110111000000000000,00111011111111000100001000000000,00111011100101010111001100000000,00111010000010011111100000000000,
01000100011011111011110011101100,00111111101000011010000100111010,00111110110111001110011110100100,01000010011111010110010000010000,
01000100001101011101110110011110,01000000011101111001000101000010,00111001101010010110000000000000,00111110111010101101010101010100,
00111010111001111011010000000000,01000100001101011010111100111000,01000011110000000111010001000101,00111110101100010111000011001100,
01000001000001110011100011011010,01000010000010001100100000000110,01000001010001010001110111011110,01000000100111011111000000111100,
00111101000000110001010110000000,00111101100011101111111010010000,00111011011100101110000000000000,01000011111110000011011110101000,
01000010101011100010000010111010,01000100000000100011111000110000,00111001011010101000000000000000,01000011010011100101110011000100,
00111101100000001100001100100000,00111110010111101010111111000000,01000011001110101110111100000001,00111010001110001010100000000000,
00111110010010010111111001111000,00111111001011000010010000011100,00111011101011001100011000000000,00111110111011100101000111110000,
00111101101001100110000100100000,01000010011100110111111100000010,01000010101110100000111101100100,00111011001010001111001000000000,
00111101001101110111000001000000,00111100000111000110010100000000,00111000110101000100000000000000,01000100001101001001110010100000,
00111001111110000100000000000000,00111101101110100000001000100000,00111010001010011010100000000000,00111101000000101101001000000000,
01000100001111110001100011111111,00111101100000111001000100010000,01000001000101100110000110011001,01000100000100101101000100010101,
00111011011110000000000000000000,01000010101001111100001001100101,00111101010101000010010100000000,00111111110001000111100110110000,
00111010111100110001110000000000,01000000100111100110001111110001,00111101110000100101111101000000,00111111111100011000001001110111,
