01110101,11,10011100,10111,
0111111,010001,1011101,0100110,
10110000,1011101,10011010,10000101,
0100011,1000101,101011,0100110,
10101010,10110011,1001101,10011001,
01101110,0110001,0101001,01111110,
10100101,01111111,1010,10010011,
10011000,101101,011011,1001011,
10011011,01110100,0100111,100010,
01001101,10101110,1001100,01111000,
0111000,01000101,10000101,10010101,
01000110,1010010,0101111,1000011,
0111111,1001110,1100000,01101110,
1011101,100011,10000111,1001001,
01100010,010011,101011,10010000,
10001001,01110,0110010,01010011,
01010010,100101,01110101,10011100,
010100,10001,01111010,10001100,
0101101,0100100,01111110,0110100,
01000000,1000100,10110001,1001111,
